Equipment,Substation Name,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
41014726,SAN BRUNO,32,D,TXFR,,,,,left_only
41014729,SAN BRUNO,32,D,TXFR,,,,,left_only
41014721,SAN BRUNO,32,D,TXFR,,,,,left_only
41014768,AUBURN,32,D,TXFR,,,,,left_only
41012532,AUBURN,32,D,TXFR,,,,,left_only
41014753,AUBURN,32,D,TXFR,,,,,left_only
41013268,LAYTONVILLE,32,D,TXFR,,,,,left_only
41013269,LAYTONVILLE,32,D,TXFR,,,,,left_only
41012312,INDIAN FLAT,32,D,TXFR,,,,,left_only
41014383,INDIAN FLAT,32,D,TXFR,,,,,left_only
41012311,INDIAN FLAT,32,D,TXFR,,,,,left_only
41012176,GIFFEN,31,D,TXFR,,,,,left_only
41012175,GIFFEN,31,D,TXFR,,,,,left_only
41012172,GIFFEN,31,D,TXFR,,,,,left_only
41012990,FRENCH GULCH,31,D,TXFR,,,,,left_only
41012992,FRENCH GULCH,31,D,TXFR,,,,,left_only
41015154,CALFLAX,41,D,TXFR,,,,,left_only
41012991,FRENCH GULCH,31,D,TXFR,,,,,left_only
41013244,LAKEVIEW,31,D,TXFR,,,,,left_only
41013245,LAKEVIEW,41,D,TXFR,,,,,left_only
41013246,LAKEVIEW,31,D,TXFR,,,,,left_only
41012453,MAPLE CREEK,31,D,TXFR,,,,,left_only
41014502,MAPLE CREEK,31,D,TXFR,,,,,left_only
41013368,MAPLE CREEK,31,D,TXFR,,,,,left_only
41012452,MAPLE CREEK,31,D,TXFR,,,,,left_only
41012932,EL CAPITAN,33,D,TXFR,,,,,left_only
41013291,OAKLAND X,33,D,TXFR,,,,,left_only
41012013,ARLINGTON,33,D,TXFR,,,,,left_only
41015010,WALL,33,D,TXFR,,,,,left_only
41014841,SARANAP,33,D,TXFR,,,,,left_only
41012197,GILL,33,D,TXFR,,,,,left_only
41014376,YOSEMITE,33,D,TXFR,,,,,left_only
41015012,WALDO,53,D,TXFR,,,,,left_only
41014814,BANCROFT,33,D,TXFR,,,,,left_only
41013722,PARSONS,33,D,TXFR,,,,,left_only
41011919,EAST GRAND,33,D,TXFR,,,,,left_only
41014929,BABEL,33,D,TXFR,,,,,left_only
41012031,EAST GRAND,33,D,TXFR,,,,,left_only
41013111,HARDING,33,D,TXFR,,,,,left_only
41012030,MIRA VISTA,33,D,TXFR,,,,,left_only
41012484,ALTO,33,D,TXFR,,,,,left_only
41012483,ALTO,43,D,TXFR,,,,,left_only
41012487,ALTO,43,D,TXFR,,,,,left_only
41012570,BEN LOMOND,32,D,TXFR,,,,,left_only
41013000,COTATI,33,D,TXFR,,,,,left_only
41013381,MARYSVILLE,33,D,TXFR,,,,,left_only
41013379,MARYSVILLE,33,D,TXFR,,,,,left_only
41331810,BALCH PH #2,32,D,TXFR,,,,,left_only
41013341,MABURY,32,D,TXFR,,,,,left_only
41012438,MABURY,32,D,TXFR,,,,,left_only
41013340,MABURY,32,D,TXFR,,,,,left_only
41013174,NAPA,32,D,TXFR,,,,,left_only
41013570,NAVY LAB,32,D,TXFR,,,,,left_only
41013573,NAVY SCHOOL,32,D,TXFR,,,,,left_only
41013072,GRASS VALLEY,42,D,TXFR,,,,,left_only
41012820,CORDELIA,32,D,TXFR,,,,,left_only
41013572,NAVY SCHOOL,32,D,TXFR,,,,,left_only
41012206,GRASS VALLEY,52,D,TXFR,,,,,left_only
41013569,NAVY LAB,32,D,TXFR,,,,,left_only
41013830,RECLAMATION DIST#1500,32,D,TXFR,,,,,left_only
41013571,NAVY LAB,32,D,TXFR,,,,,left_only
41013428,MERCY SPRINGS,32,D,TXFR,,,,,left_only
41014520,NAVY SCHOOL,32,D,TXFR,,,,,left_only
41013073,GRASS VALLEY,32,D,TXFR,,,,,left_only
41014402,SAN BRUNO,32,D,TXFR,,,,,left_only
41012407,LIVERMORE,32,D,TXFR,,,,,left_only
41012406,LIVERMORE,42,D,TXFR,,,,,left_only
41014615,SHADY GLEN,32,D,TXFR,,,,,left_only
41014614,SHADY GLEN,32,D,TXFR,,,,,left_only
41330185,BALCH PH #1,32,D,TXFR,,,,,left_only
41330188,BALCH PH #2,32,D,TXFR,,,,,left_only
41330154,BALCH PH #1,32,D,TXFR,,,,,left_only
41013271,LAYTONVILLE,32,D,TXFR,,,,,left_only
