Equipment,Substation Name,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
40996571,MOLINO SUB,43,D,BRKR,,,,,left_only
40996839,POINT PINOLE SUB,43,D,BRKR,,,,,left_only
40995584,CARQUINEZ SUB,43,D,BRKR,,,,,left_only
40992765,LAS GALLINAS A SUB,43,D,BRKR,,,,,left_only
40992763,LAS GALLINAS A SUB,43,D,BRKR,,,,,left_only
40992764,LAS GALLINAS A SUB,43,D,BRKR,,,,,left_only
40992762,LAS GALLINAS A SUB,43,D,BRKR,,,,,left_only
40992587,JANES CREEK SUB,43,D,BRKR,,,,,left_only
40992198,CORNING SUB,43,D,BRKR,,,,,left_only
40992484,GANSO SUB,42,D,BRKR,,,,,left_only
40994853,WELLFIELD SUB,52,D,BRKR,,,,,left_only
40992109,CARNERAS SUB,52,D,BRKR,,,,,left_only
40995932,EL PECO SUB,52,D,BRKR,,,,,left_only
40994852,WELLFIELD SUB,42,D,BRKR,,,,,left_only
40992236,COPUS SUB,52,D,BRKR,,,,,left_only
40992513,GRANT SUB,42,D,BRKR,,,,,left_only
40992196,CORNING SUB,42,D,BRKR,,,,,left_only
40996925,RED BLUFF SUB,42,D,BRKR,,,,,left_only
40990037,WESTPARK SUB,42,D,BRKR,,,,,left_only
40989895,TYLER SUB,42,D,BRKR,,,,,left_only
40992373,ELK HILLS SUB,42,D,BRKR,,,,,left_only
40989896,TYLER SUB,42,D,BRKR,,,,,left_only
40996752,OLD RIVER SUB,42,D,BRKR,,,,,left_only
40993358,RADUM SUB,43,D,BRKR,,,,,left_only
40992460,FREMONT SUB,43,D,BRKR,,,,,left_only
40993681,STOREY SUB,43,D,BRKR,,,,,left_only
40993089,NOVATO SUB,53,D,BRKR,,,,,left_only
40993414,RUSSELL SUB,43,D,BRKR,,,,,left_only
40991690,YOSEMITE SUB,43,D,BRKR,,,,,left_only
40992362,EL CAPITAN SUB,43,D,BRKR,,,,,left_only
40992456,FREMONT SUB,43,D,BRKR,,,,,left_only
40994898,WESTPARK SUB,53,D,BRKR,,,,,left_only
40994897,WESTPARK SUB,53,D,BRKR,,,,,left_only
40989974,WEEDPATCH SUB,43,D,BRKR,,,,,left_only
40993091,NOVATO SUB,53,D,BRKR,,,,,left_only
40992957,MIRA VISTA SUB,42,D,BRKR,,,,,left_only
40996681,NORCO SUB,42,D,BRKR,,,,,left_only
40992013,DOS PALOS SUB,42,D,BRKR,,,,,left_only
40995168,SAN FRAN E SUB,42,D,BRKR,,,,,left_only
40995368,SAN FRAN E SUB,42,D,BRKR,,,,,left_only
40994773,TRACY SUB,42,D,BRKR,,,,,left_only
40995163,ROCKLIN SUB,42,D,BRKR,,,,,left_only
40994899,WESTPARK SUB,52,D,BRKR,,,,,left_only
40989973,WEEDPATCH SUB,42,D,BRKR,,,,,left_only
40993478,SAUSALITO SUB,42,D,BRKR,,,,,left_only
40996946,RIDGE SUB,52,D,BRKR,,,,,left_only
40993383,RIDGE SUB,52,D,BRKR,,,,,left_only
40995334,EL PATIO SUB,53,D,BRKR,,,,,left_only
40995927,EL PATIO SUB,53,D,BRKR,,,,,left_only
40995488,BELMONT SUB,53,D,BRKR,,,,,left_only
40995303,STELLING SUB,43,D,BRKR,,,,,left_only
40994794,VALLEY VIEW SUB,43,D,BRKR,,,,,left_only
40995490,BELMONT SUB,53,D,BRKR,,,,,left_only
40995304,STELLING SUB,43,D,BRKR,,,,,left_only
40995926,EL PATIO SUB,53,D,BRKR,,,,,left_only
40992535,HARRIS SUB,43,D,BRKR,,,,,left_only
40991636,CURTIS SUB,33,D,BRKR,,,,,left_only
